/home/pjs/anaconda3/lib/python3.9/site-packages/torchvision/transforms/transforms.py:257: UserWarning: Argument interpolation should be of type InterpolationMode instead of int. Please, use InterpolationMode enum.
  warnings.warn(
cuda:0
GeForce GTX 1070
[13/20,4000/8406] loss: 0.007
[13/20,4200/8406] loss: 0.006
[13/20,4400/8406] loss: 0.006
[13/20,4600/8406] loss: 0.006
[13/20,4800/8406] loss: 0.005
[13/20,5000/8406] loss: 0.005
[13/20,5200/8406] loss: 0.007
[13/20,5400/8406] loss: 0.007
[13/20,5600/8406] loss: 0.009
[13/20,5800/8406] loss: 0.007
[13/20,6000/8406] loss: 0.007
[13/20,6200/8406] loss: 0.008
[13/20,6400/8406] loss: 0.006
[13/20,6600/8406] loss: 0.005
[13/20,6800/8406] loss: 0.009
[13/20,7000/8406] loss: 0.007
[13/20,7200/8406] loss: 0.006
[13/20,7400/8406] loss: 0.008
[13/20,7600/8406] loss: 0.008
[13/20,7800/8406] loss: 0.008
[13/20,8000/8406] loss: 0.006
[13/20,8200/8406] loss: 0.006
[13/20,8400/8406] loss: 0.006
Accuracy: 96 %
[14/20, 200/8406] loss: 0.005
[14/20, 400/8406] loss: 0.006
[14/20, 600/8406] loss: 0.004
[14/20, 800/8406] loss: 0.004
[14/20,1000/8406] loss: 0.005
[14/20,1200/8406] loss: 0.004
[14/20,1400/8406] loss: 0.006
[14/20,1600/8406] loss: 0.003
[14/20,1800/8406] loss: 0.005
[14/20,2000/8406] loss: 0.004
[14/20,2200/8406] loss: 0.005
[14/20,2400/8406] loss: 0.007
[14/20,2600/8406] loss: 0.007
[14/20,2800/8406] loss: 0.007
[14/20,3000/8406] loss: 0.006
[14/20,3200/8406] loss: 0.005
[14/20,3400/8406] loss: 0.007
[14/20,3600/8406] loss: 0.005
[14/20,3800/8406] loss: 0.005
[14/20,4000/8406] loss: 0.005
[14/20,4200/8406] loss: 0.006
[14/20,4400/8406] loss: 0.004
[14/20,4600/8406] loss: 0.005
[14/20,4800/8406] loss: 0.005
[14/20,5000/8406] loss: 0.005
[14/20,5200/8406] loss: 0.004
[14/20,5400/8406] loss: 0.006
[14/20,5600/8406] loss: 0.004
[14/20,5800/8406] loss: 0.006
[14/20,6000/8406] loss: 0.008
[14/20,6200/8406] loss: 0.006
[14/20,6400/8406] loss: 0.005
[14/20,6600/8406] loss: 0.005
[14/20,6800/8406] loss: 0.007
[14/20,7000/8406] loss: 0.005
[14/20,7200/8406] loss: 0.007
[14/20,7400/8406] loss: 0.005
[14/20,7600/8406] loss: 0.008
[14/20,7800/8406] loss: 0.006
[14/20,8000/8406] loss: 0.007
[14/20,8200/8406] loss: 0.006
[14/20,8400/8406] loss: 0.006
Accuracy: 96 %
[15/20, 200/8406] loss: 0.005
[15/20, 400/8406] loss: 0.004
[15/20, 600/8406] loss: 0.004
[15/20, 800/8406] loss: 0.003
[15/20,1000/8406] loss: 0.004
[15/20,1200/8406] loss: 0.003
[15/20,1400/8406] loss: 0.003
[15/20,1600/8406] loss: 0.003
[15/20,1800/8406] loss: 0.003
[15/20,2000/8406] loss: 0.005
[15/20,2200/8406] loss: 0.005
[15/20,2400/8406] loss: 0.004
[15/20,2600/8406] loss: 0.005
[15/20,2800/8406] loss: 0.005
[15/20,3000/8406] loss: 0.004
[15/20,3200/8406] loss: 0.005
[15/20,3400/8406] loss: 0.004
[15/20,3600/8406] loss: 0.004
[15/20,3800/8406] loss: 0.005
[15/20,4000/8406] loss: 0.004
[15/20,4200/8406] loss: 0.005
[15/20,4400/8406] loss: 0.004
[15/20,4600/8406] loss: 0.004
[15/20,4800/8406] loss: 0.006
[15/20,5000/8406] loss: 0.004
[15/20,5200/8406] loss: 0.006
[15/20,5400/8406] loss: 0.006
[15/20,5600/8406] loss: 0.006
[15/20,5800/8406] loss: 0.004
[15/20,6000/8406] loss: 0.007
[15/20,6200/8406] loss: 0.005
[15/20,6400/8406] loss: 0.004
[15/20,6600/8406] loss: 0.005
[15/20,6800/8406] loss: 0.003
[15/20,7000/8406] loss: 0.004
[15/20,7200/8406] loss: 0.006
[15/20,7400/8406] loss: 0.006
[15/20,7600/8406] loss: 0.006
[15/20,7800/8406] loss: 0.005
[15/20,8000/8406] loss: 0.006
[15/20,8200/8406] loss: 0.006
[15/20,8400/8406] loss: 0.003
Accuracy: 96 %
[16/20, 200/8406] loss: 0.003
[16/20, 400/8406] loss: 0.003
[16/20, 600/8406] loss: 0.004
[16/20, 800/8406] loss: 0.003
[16/20,1000/8406] loss: 0.003
[16/20,1200/8406] loss: 0.004
[16/20,1400/8406] loss: 0.003
[16/20,1600/8406] loss: 0.005
[16/20,1800/8406] loss: 0.003
[16/20,2000/8406] loss: 0.004
[16/20,2200/8406] loss: 0.004
[16/20,2400/8406] loss: 0.004
[16/20,2600/8406] loss: 0.005
[16/20,2800/8406] loss: 0.005
[16/20,3000/8406] loss: 0.004
[16/20,3200/8406] loss: 0.004
[16/20,3400/8406] loss: 0.004
[16/20,3600/8406] loss: 0.004
[16/20,3800/8406] loss: 0.005
[16/20,4000/8406] loss: 0.003
[16/20,4200/8406] loss: 0.005
[16/20,4400/8406] loss: 0.004
[16/20,4600/8406] loss: 0.006
[16/20,4800/8406] loss: 0.004
[16/20,5000/8406] loss: 0.005
[16/20,5200/8406] loss: 0.005
[16/20,5400/8406] loss: 0.004
[16/20,5600/8406] loss: 0.003
[16/20,5800/8406] loss: 0.006
[16/20,6000/8406] loss: 0.005
[16/20,6200/8406] loss: 0.005
[16/20,6400/8406] loss: 0.004
[16/20,6600/8406] loss: 0.004
[16/20,6800/8406] loss: 0.003
